,restaurant_id,menu_type,section,menu_item,description,price,dietary_prefences,source,image_name,ingredients,ingredients_mapped
0,laylak_toronto,,Cold Dips,Hummus,Chickpea tahini lemon,17,,,,"['chickpeas', 'tahini', 'lemon juice', 'olive oil', 'garlic', 'salt', 'cumin']","chickpea, tahini, lemon_juice, olive_oil, garlic, salt, cumin"
1,laylak_toronto,,Cold Dips,Baba Ghanoush,Fire roasted eggplant tahini lemon,17,,,,"['eggplant', 'tahini', 'lemon juice', 'olive oil', 'garlic', 'salt', 'smoked paprika']","eggplant, tahini, lemon_juice, olive_oil, garlic, salt, smoked_paprika"
2,laylak_toronto,,Cold Dips,Mohamarah,"Fire roasted red pepper, Aleppo pepper, walnut",17,,,,"['roasted red peppers', 'aleppo pepper', 'walnuts', 'breadcrumbs', 'pomegranate molasses', 'garlic', 'olive oil', 'lemon juice', 'salt']","roasted_red_pepper, aleppo_pepper, walnut, breadcrumb, pomegranate_molasses, garlic, olive_oil, lemon_juice, salt"
3,laylak_toronto,,Cold Dips,Labneh Bel Toum,Strained yogurt mint garlic,17,,,,"['strained yogurt labneh', 'fresh mint', 'garlic', 'olive oil', 'salt']","strained yogurt labneh, of_fresh_mint, garlic, olive_oil, salt"
4,laylak_toronto,,Cold Dips,Trio,Choice of 3 dips,22,,,,"['combination of hummus', 'baba ghanoush', 'and mohamarah']","combination of hummus, baba ghanoush, and mohamarah"
5,laylak_toronto,,Salads,Fattoush,Romaine frisse tomato cucumber apple cider vinaigrette,22,,,,"['romaine lettuce', 'frisse', 'tomatoes', 'cucumbers', 'radishes', 'bell peppers', 'pita chips', 'sumac', 'apple cider vinegar', 'olive oil', 'salt']","romaine_lettuce, frisee, tomato, cucumber, radish, bell_pepper, pita_chip, sumac, apple_cider_vinegar, olive_oil, salt"
6,laylak_toronto,,Salads,Tabouli,Parsley bulgur mint hosrom vinaigrette,22,,,,"['parsley', 'bulgur wheat', 'fresh mint', 'tomatoes', 'green onions', 'lemon juice', 'olive oil', 'salt', 'pepper']","parsley, bulgur_wheat, of_fresh_mint, tomato, green_onion, lemon_juice, olive_oil, salt, pepper"
7,laylak_toronto,,Salads,Beetroot Labneh,Whipped labneh frisse beets roasted almond,22,,,,"['whipped labneh', 'roasted beets', 'frisse', 'toasted almonds', 'olive oil', 'salt']","whipped_butter, roast_beef, frisee, toasted_almond, olive_oil, salt"
8,laylak_toronto,,Salads,Raheb Salad,Fire roasted eggplant walnut onion mixed bell pepper,17,,,,"['roasted eggplant', 'walnuts', 'onions', 'mixed bell peppers', 'olive oil', 'parsley', 'lemon juice', 'salt']","roasted_peanut, walnut, onion, mixed_pepper, olive_oil, parsley, lemon_juice, salt"
9,laylak_toronto,,Hot Appetizers,Halloumi,Cucumber cured tomatoes basil,26,,,,"['grilled halloumi cheese', 'cucumbers', 'cured tomatoes', 'fresh basil', 'olive oil']","halloumi_cheese, cucumber, crushed_tomato, fresh_basil, olive_oil"
10,laylak_toronto,,Hot Appetizers,Spinach Fatayer,Spinach sumac pine nuts,17,,,,"['spinach', 'sumac', 'pine nuts', 'onions', 'olive oil', 'phyllo dough', 'salt']","spinach, sumac, pine_nut, onion, olive_oil, phyllo_dough, salt"
11,laylak_toronto,,Hot Appetizers,Sujuk,Beef heirloom tomato pomegranate garlic almond,22,,,,"['ground beef', 'heirloom tomatoes', 'pomegranate molasses', 'garlic', 'almonds', 'paprika', 'chili flakes', 'cumin']","ground_beef, heirloom_tomato, pomegranate_molasses, garlic, almond, paprika, chili_flake, cumin"
12,laylak_toronto,,Hot Appetizers,Makanek,Beef house spice pine nut,26,,,,"['beef sausages', 'house spice blend cumin', 'coriander', 'black pepper', 'pine nuts', 'garlic', 'olive oil']","beef_sausage, house spice blend cumin, coriander, black_pepper, pine_nut, garlic, olive_oil"
13,laylak_toronto,,Hot Appetizers,Kibbeh,Bulgur beef pine nuts,22,,,,"['bulgur wheat', 'minced beef', 'pine nuts', 'onions', 'cinnamon', 'allspice', 'olive oil']","bulgur_wheat, minced_beef, pine_nut, onion, cinnamon, allspice, olive_oil"
14,laylak_toronto,,Hot Appetizers,Vegetarian Kibbeh,Yukon potato walnuts almonds onions pom molasses,22,,,,"['yukon potatoes', 'walnuts', 'almonds', 'onions', 'pomegranate molasses', 'bulgur wheat', 'salt']","yukon_gold_potato, walnut, almond, onion, pomegranate_molasses, bulgur_wheat, salt"
15,laylak_toronto,,Hot Appetizers,Hummus Tenderloin,Beef pomegranate nuts,32,,,,"['beef tenderloin', 'pomegranate molasses', 'nuts pine nuts or almonds', 'hummus', 'olive oil']","beef_tenderloin, pomegranate_molasses, nuts pine nuts or almonds, hummus, olive_oil"
16,laylak_toronto,,Hot Appetizers,Cauliflower Tajin,Fried cauliflower cilantro serrano,35,,,,"['fried cauliflower', 'cilantro', 'serrano peppers', 'lemon juice', 'olive oil', 'garlic']","frozen_cauliflower, cilantro, serrano_pepper, lemon_juice, olive_oil, garlic"
17,laylak_toronto,,Hot Appetizers,Cheese Rolls,Halloumi akawi watermelon basil infused olive oil,17,,,,"['halloumi cheese', 'akawi cheese', 'watermelon', 'fresh basil', 'infused olive oil basil or chili']","halloumi_cheese, havarti_cheese, watermelon, fresh_basil, infused olive oil basil or chili"
18,laylak_toronto,,Hot Appetizers,Batata Harrah,Cilantro Aleppo pepper toum,26,,,,"['fried potatoes', 'cilantro', 'aleppo pepper', 'garlic toum', 'lemon juice', 'olive oil']","red_potato, cilantro, aleppo_pepper, garlic, lemon_juice, olive_oil"
19,laylak_toronto,,Cold Appetizers,Grape Leaves,Rice pomegranate molasses parsley,22,,,,"['rice', 'pomegranate molasses', 'parsley', 'onions', 'tomatoes', 'mint', 'grape leaves']","rice, pomegranate_molasses, parsley, onion, tomato, mint, grape_leaf"
