,flavour,ingredients,ingredients_mapped
0,Cajun,"['roux', 'spice', 'onions', 'celery', 'peppers', 'garlic', 'cayenne', 'lemon', 'parsley', 'thyme', 'sausage', 'crawfish', 'crab', 'shrimp', 'rice', 'okra', 'chicken', 'bay', 'sausage', 'file', 'sauce', 'tomato', 'scallions', 'sauce', 'allspice', 'mirliton', 'pepper', 'mustard', 'cornmeal', 'butter', 'vinegar', 'sauce', 'molasses', 'syrup', 'beans', 'corn']","roux, spice, onion, celery, pepper, garlic, cayenne, lemon, parsley, thyme, sausage, crawfish, crab, shrimp, rice, okra, chicken, barley, sausage, fillet, hot_sauce, tomato, scallion, hot_sauce, allspice, mirlitons, pepper, mustard, cornmeal, butter, vinegar, hot_sauce, molasses, syrup, bean, corn"
1,Creole,"['roux', 'spice', 'onions', 'celery', 'peppers', 'garlic', 'cayenne', 'lemon', 'parsley', 'thyme', 'sausage', 'crawfish', 'crab', 'shrimp', 'rice', 'okra', 'chicken', 'bay', 'sausage', 'file', 'sauce', 'tomato', 'scallions', 'sauce', 'allspice', 'mirliton', 'pepper', 'mustard', 'cornmeal', 'butter', 'vinegar', 'sauce', 'molasses', 'syrup', 'beans', 'corn']","roux, spice, onion, celery, pepper, garlic, cayenne, lemon, parsley, thyme, sausage, crawfish, crab, shrimp, rice, okra, chicken, barley, sausage, fillet, hot_sauce, tomato, scallion, hot_sauce, allspice, mirlitons, pepper, mustard, cornmeal, butter, vinegar, hot_sauce, molasses, syrup, bean, corn"
2,Caribbean,"['allspice', 'peppers', 'garlic', 'rum', 'jerk', 'corn', 'plantain', 'mace', 'pineapple', 'nutmeg', 'cloves', 'cinnamon', 'bay', 'saffron', 'vanilla', 'coconut', 'lime', 'cilantro', 'mango', 'taro', 'yams', 'ackee', 'fish', 'seafood', 'beans', 'beans', 'rice', 'thyme', 'chicken', 'goat', 'beef', 'pork', 'curry', 'turmeric', 'ginger', 'tamarind', 'oil', 'tomatoes', 'avocado', 'banana']","allspice, pepper, garlic, rum, jerk, corn, plantain, mace, pineapple, nutmeg, clove, cinnamon, barley, saffron, vanilla, coconut, lime, cilantro, mango, tarragon, yam, mackerel, fish, seafood, bean, bean, rice, thyme, chicken, oat, beef, pork, curry, turmeric, ginger, tamari, oil, tomato, avocado, banana"
3,Chinese,"['soy', 'oil', 'sesame', 'garlic', 'ginger', 'chestnuts', 'peppercorns', 'anise', 'sauce', 'spice', 'sauce', 'vinegar', 'paste', 'pork', 'mushrooms', 'onions', 'shoots', 'sauce', 'tofu', 'seeds', 'mushrooms', 'chicken', 'beef', 'shrimp', 'scallions', 'tea', 'duck', 'cucumber', 'peanuts', 'choy', 'onion', 'sugar', 'starch', 'pepper', 'rice', 'noodles', 'eggplant', 'root', 'seaweed']","shoyu, oil, sesame, garlic, ginger, chestnut, peppercorn, anise, hot_sauce, spice, hot_sauce, vinegar, pate, pork, mushroom, onion, pea_shoot, hot_sauce, tofu, seed, mushroom, chicken, beef, shrimp, scallion, tea, duck, cucumber, peanut, anchovy, onion, sugar, starch, pepper, rice, noodle, eggplant, beetroot, seed"
4,French,"['butter', 'shallots', 'onions', 'celery', 'carrots', 'thyme', 'tarragon', 'herbs', 'herbs', 'bay', 'chives', 'chervil', 'capers', 'wine', 'wine', 'truffle', 'cheeses', 'mustard', 'mushrooms', 'cream', 'garlic', 'parsley', 'sage', 'rosemary', 'leek', 'chicken', 'beef', 'pork', 'duck', 'lamb', 'fish', 'scallops', 'potatoes', 'eggs', 'flour', 'sugar', 'bread', 'pastry', 'vinegar', 'brandy']","butter, shallot, onion, celery, carrot, thyme, tarragon, herb, herb, barley, chive, chervil, caper, wine, wine, truffle, cheese, mustard, mushroom, cream, garlic, parsley, sage, rosemary, leek, chicken, beef, pork, duck, lamb, fish, scallop, potato, egg, flour, sugar, bread, pie_pastry, vinegar, brandy"
5,Korean,"['kimchi', 'oil', 'paste', 'paste', 'eggs', 'tofu', 'marinade', 'ginger', 'garlic', 'soy', 'seaweed', 'wine', 'noodles', 'anchovies', 'seeds', 'scallions', 'daikon', 'pepper', 'beef', 'pork', 'chicken', 'fish', 'rice', 'paste', 'honey', 'sugar', 'tea', 'leaves', 'onions', 'mushrooms', 'carrots', 'cucumbers', 'spinach', 'sprouts', 'noodles', 'wine', 'sake', 'vinegar', 'peppers']","kim_chee, oil, pate, pate, egg, tofu, marinade, ginger, garlic, shoyu, seed, wine, noodle, anchovy, seed, scallion, daikon_radish, pepper, beef, pork, chicken, fish, rice, pate, honey, sugar, tea, lean_veal, onion, mushroom, carrot, cucumber, spinach, bean_sprout, noodle, wine, sake, vinegar, pepper"
6,Indian,"['spices', 'masala', 'curry', 'yogurt', 'milk', 'rice', 'tamarind', 'cardamom', 'cumin', 'coriander', 'cilantro', 'fennel', 'garlic', 'saffron', 'fenugreek', 'chilies', 'turmeric', 'seeds', 'pepper', 'ginger', 'onions', 'tomatoes', 'paneer', 'lentils', 'chickpeas', 'spinach', 'potatoes', 'lamb', 'chicken', 'beef', 'fish', 'shrimp', 'eggplant', 'peas', 'cloves', 'cinnamon', 'nutmeg', 'bay', 'lemon', 'lime']","spice, masala, curry, yogurt, milk, rice, tamari, cardamom, cumin, coriander, cilantro, fennel, garlic, saffron, fenugreek_leaf, chilies, turmeric, seed, pepper, ginger, onion, tomato, panir, lentil, chickpea, spinach, potato, lamb, chicken, beef, fish, shrimp, eggplant, pea, clove, cinnamon, nutmeg, barley, lemon, lime"
7,Italian,"['garlic', 'onions', 'celery', 'basil', 'pesto', 'seasoning', 'prosciutto', 'cheese', 'cheese', 'nuts', 'tomatoes', 'artichokes', 'olives', 'oil', 'oregano', 'lemon', 'fennel', 'parsley', 'flakes', 'rosemary', 'beans', 'vinegar', 'capers', 'anchovies', 'sausage', 'beef', 'chicken', 'pork', 'veal', 'fish', 'cheese', 'eggplant', 'zucchini', 'peppers', 'polenta', 'pasta', 'wine', 'cheese', 'arugula']","garlic, onion, celery, basil, pimento, seasoning, prosciutto, cheese, cheese, nut, tomato, artichoke, olive, oil, oregano, lemon, fennel, parsley, rye_flake, rosemary, bean, vinegar, caper, anchovy, sausage, beef, chicken, pork, veal, fish, cheese, eggplant, zucchini, pepper, polenta, pasta, wine, cheese, arugula"
8,Japanese,"['miso', 'oil', 'seeds', 'vinegar', 'sake', 'soy', 'wasabi', 'ginger', 'seaweed', 'wine', 'sauce', 'flakes', 'dashi', 'vegetables', 'tofu', 'onions', 'daikon', 'mushrooms', 'rice', 'noodles', 'batter', 'yuzu', 'matcha', 'sugar', 'eggs', 'chicken', 'pork', 'beef', 'seafood', 'rice', 'sheets', 'squash', 'scallions', 'shoots', 'root', 'pepper']","miso, oil, seed, vinegar, sake, shoyu, wasabi, ginger, seed, wine, hot_sauce, rye_flake, dashi, vegetable, tofu, onion, daikon_radish, mushroom, rice, noodle, batter, yuzu, maca, sugar, egg, chicken, pork, beef, seafood, rice, sherbet, squash, scallion, pea_shoot, beetroot, pepper"
9,Greek,"['oregano', 'lemon', 'olives', 'tuna', 'rosemary', 'bay', 'thyme', 'oil', 'lamb', 'garlic', 'cheese', 'tomatoes', 'onions', 'fish', 'cucumbers', 'yogurt', 'honey', 'parsley', 'dill', 'mint', 'almonds', 'walnuts', 'chickpeas', 'eggplant', 'zucchini', 'peppers', 'grapes', 'figs', 'wine', 'vinegar', 'dough', 'seeds', 'beef', 'pork', 'chicken', 'oranges', 'lemons', 'pomegranates']","oregano, lemon, olive, tuna, rosemary, barley, thyme, oil, lamb, garlic, cheese, tomato, onion, fish, cucumber, yogurt, honey, parsley, dill, mint, almond, walnut, chickpea, eggplant, zucchini, pepper, grape, fig, wine, vinegar, doughnut, seed, beef, pork, chicken, orange, lemon, pomegranate"
