,node_id,name,id,node_type,is_hub
0,0,1_fat_buttermilk,,ingredient,no_hub
1,1,1_fat_cottage_cheese,,ingredient,no_hub
2,3,10_cream,,ingredient,no_hub
3,4,100_bran,,ingredient,no_hub
4,5,10_inch_flour_tortilla,,ingredient,no_hub
5,7,12_inch_pizza_crust,,ingredient,no_hub
6,9,18_table_cream,,ingredient,no_hub
7,10,2_buttermilk,,ingredient,no_hub
8,11,2_cheddar_cheese,,ingredient,no_hub
9,12,2_evaporated_milk,,ingredient,no_hub
10,13,2_fat_cottage_cheese,,ingredient,no_hub
11,15,2_milk,,ingredient,no_hub
12,16,2_mozzarella_cheese,,ingredient,no_hub
13,17,35_cream,,ingredient,no_hub
14,18,6_inch_corn_tortilla,,ingredient,no_hub
15,19,6_inch_flour_tortilla,,ingredient,no_hub
16,20,7_up,,ingredient,no_hub
17,22,80_lean_ground_beef,,ingredient,no_hub
18,23,85_lean_ground_beef,,ingredient,no_hub
19,24,8_inch_flour_tortilla,,ingredient,no_hub
20,25,9_pastry_pie_shell,,ingredient,no_hub
21,26,9_unbaked_pie_shell,,ingredient,no_hub
22,27,90_lean_ground_beef,,ingredient,no_hub
23,28,93_lean_ground_beef,,ingredient,no_hub
24,29,95_lean_ground_beef,,ingredient,no_hub
25,30,96_lean_ground_beef,,ingredient,no_hub
26,31,98_fat_free_cream_of_chicken_soup,,ingredient,no_hub
27,32,98_fat_free_cream_of_mushroom_soup,,ingredient,no_hub
28,33,9_inch_baked_pie_crust,,ingredient,no_hub
29,34,9_inch_deep_dish_pie_crust,,ingredient,no_hub
30,35,9_inch_graham_cracker_crust,,ingredient,no_hub
31,36,9_inch_pie_shell,,ingredient,no_hub
32,37,a1_original_sauce,,ingredient,no_hub
33,38,abalone,,ingredient,hub
34,39,absinthe,,ingredient,no_hub
35,40,absolut_citron_vodka,,ingredient,no_hub
36,44,achiote,,ingredient,no_hub
37,45,achiote_oil,,ingredient,no_hub
38,46,achiote_paste,,ingredient,no_hub
39,47,achiote_powder,,ingredient,no_hub
40,49,acini_di_pepe_pasta,,ingredient,no_hub
41,50,acorn,,ingredient,hub
42,51,acorn_squash,,ingredient,no_hub
43,52,active_dry_yeast,,ingredient,no_hub
44,53,active_starter,,ingredient,no_hub
45,54,adobo_sauce,,ingredient,no_hub
46,55,adobo_seasoning,,ingredient,no_hub
47,56,advocaat,,ingredient,no_hub
48,57,adzuki_bean,,ingredient,hub
49,58,agar,,ingredient,hub
50,59,agar_agar,,ingredient,no_hub
51,60,agar_agar_flake,,ingredient,no_hub
52,61,agave,,ingredient,hub
53,62,agave_nectar,,ingredient,no_hub
54,63,agave_syrup,,ingredient,no_hub
55,64,aged_cheddar_cheese,,ingredient,no_hub
56,65,aged_white_cheddar_cheese,,ingredient,no_hub
57,66,ahi,,ingredient,no_hub
58,67,ahi_tuna_steak,,ingredient,no_hub
59,68,aioli,,ingredient,no_hub
60,69,ajinomoto,,ingredient,no_hub
61,70,ajwain,,ingredient,no_hub
62,71,albacore_tuna,,ingredient,hub
63,72,albacore_tuna_in_water,,ingredient,no_hub
64,73,alcaparrado,,ingredient,no_hub
65,74,alcohol,,ingredient,no_hub
66,75,ale,,ingredient,no_hub
67,76,aleppo_pepper,,ingredient,no_hub
68,77,alfalfa,,ingredient,hub
69,78,alfalfa_sprout,,ingredient,no_hub
