,Element,Ingredients,ingredients_mapped
0,Sour,"['lemon', 'lime', 'orange', 'vinegar', 'tomatoes', 'pickles', 'tamarind', 'rhubarb', 'gooseberries', 'sumac', 'sorrel', 'yogurt', 'kefir']","lemon, lime, orange, vinegar, tomato, pickle, tamari, rhubarb, gooseberry, sumac, sorrel, yogurt, kefir"
1,Sweet,"['carrots', 'sweetpotatoes', 'corn', 'butternut', 'sugarpeas', 'fennel', 'fruits', 'parsnips', 'honey', 'maple', 'molasses', 'agave', 'dates', 'figs', 'raisins']","carrot, sweet_potato, corn, butter, sugar, fennel, fruit, parsnip, honey, apple, molasses, agave, date, fig, craisins"
2,Salty,"['kosher', 'sea', 'fishsauce', 'soy', 'seaweed', 'parmesan', 'olives', 'capers', 'anchovies', 'brine', 'miso', 'salami', 'bacon', 'feta', 'pickles']","kosher_salt, steak, fish_sauce, shoyu, seed, parmesan_rind, olive, caper, anchovy, brine, miso, salami, bacon, feta, pickle"
3,Spicy,"['hotsauce', 'wasabi', 'horseradish', 'dijon', 'harissa', 'jalapenos', 'habaneros', 'cayenne', 'chili', 'sriracha', 'sambal', 'tabasco', 'ghostpeppers']","hot_sauce, wasabi, horseradish, onion, harissa, jalapeno, habaneros, cayenne, chili, sriracha_sauce, sambal_oelek, tabasco_sauce, hot_pepper"
4,Umami,"['mushrooms', 'bacon', 'meats', 'soy', 'tomatoes', 'anchovies', 'seaweed', 'cheeses', 'tempeh', 'miso', 'truffle', 'broth', 'bouillon', 'oysters']","mushroom, bacon, meat, shoyu, tomato, anchovy, seed, cheese, tempeh, miso, truffle, broth, bouillon, oyster"
5,Bitter,"['coffee', 'cacao', 'grapefruit', 'endives', 'broccoli', 'spinach', 'kale', 'radicchio', 'dandelion', 'arugula', 'chicory', 'hops', 'olives', 'tonics']","coffee, cacao, grapefruit, endive, broccoli, spinach, kale, radicchio, dandelion_green, arugula, chicory_lettuce, hop, olive, cornichons"
6,Texture,"['creamy', 'flaky', 'silky', 'crunchy', 'crispy', 'juicy', 'hard', 'soft', 'crumbly', 'greasy', 'gooey', 'moist', 'mushy', 'chewy', 'fibrous', 'smooth', 'hearty']","cream, frank, milk, conch, crisco, juice, lard, soft_tofu, soy_crumbles, gravy, goose, mint, mushroom, cashew, firm_tofu, scotch, wheat"
7,Temperature,"['hot', 'cold', 'cool', 'roomtemp', 'warm', 'chilled', 'frozen', 'toasty', 'piping', 'tepid', 'lukewarm', 'sizzling', 'icy', 'steaming']","hop, cod, cola, mushroom_stem, wafer, chile, frozen_pea, toast, icing, pepsi, lukewarm, sirloin, ice, string"
8,Savory,"['garlic', 'onions', 'celery', 'pepper', 'mustard', 'beef', 'chicken', 'pork', 'lamb', 'duck', 'broth', 'stock', 'umami', 'thyme', 'sage']","garlic, onion, celery, pepper, mustard, beef, chicken, pork, lamb, duck, broth, stock, marmite, thyme, sage"
9,Sustainable,"['lentils', 'beans', 'peas', 'barley', 'oats', 'quinoa', 'algae', 'flaxseeds', 'hempseeds', 'teff', 'amaranth', 'wildrice', 'sorghum', 'cassava']","lentil, bean, pea, barley, oat, quinoa, agave, flax_seed, hemp_seed, teff, amaranth, wild_rice, sorghum, cassava"
10,Surprise,"['durian', 'kiwano', 'rambutan', 'starfruit', 'salsify', 'jicama', 'burdock', 'celeriac', 'kohlrabi', 'guava', 'lychee', 'dragonfruit', 'pawpaw', 'jackfruit']","dried_bean, kiwi, drambuie, star_fruit, salsify, jicama, burdock_root, celeriac, kohlrabi, guava, lychee, frozen_fruit, pawpaw, jackfruit"
